Validation Error	Training Error	
 5.0110e-03	 7.4696e-03	
 5.0086e-03	 7.4566e-03	
 4.9979e-03	 7.4412e-03	
 5.0146e-03	 7.5729e-03	
 5.0110e-03	 7.4815e-03	
 4.9956e-03	 7.4910e-03	
 5.0110e-03	 7.3901e-03	
 5.0110e-03	 7.7153e-03	
 4.9932e-03	 7.4269e-03	
 4.9956e-03	 7.4506e-03	
 5.0063e-03	 7.4637e-03	
 4.9968e-03	 7.5515e-03	
 4.9825e-03	 7.3901e-03	
 4.9908e-03	 7.3415e-03	
